model,seed,device,trainable_parameters,validation_mse,validation_nrmse,test_mse,test_nrmse,best_epoch,epochs_ran,best_validation_mse,training_seconds
single_esn,0,cuda,151,0.008837656117975712,0.7272285687448212,0.005840004421770573,0.6241731499735034,200,200,0.008837656117975712,40.34529879130423
single_esn,1,cuda,151,0.010732264257967472,0.8013976434242913,0.007855301722884178,0.7239022562438635,200,200,0.010732264257967472,39.718733828980476
single_esn,2,cuda,151,0.010680438950657845,0.7994603569798424,0.008146688342094421,0.7372063135248689,200,200,0.010680438950657845,39.93119583185762
single_esn,3,cuda,151,0.009004845283925533,0.7340751286503341,0.006309181451797485,0.6487614020202411,200,200,0.009004845283925533,39.768283660989255
single_esn,4,cuda,151,0.00896540004760027,0.7324655759345479,0.006011696998029947,0.6332818428127002,200,200,0.00896540004760027,39.817887287121266
deep_esn,0,cuda,151,0.009053721092641354,0.7360646110597632,0.005593898240476847,0.6108798156160282,200,200,0.009053721092641354,60.78021519072354
deep_esn,1,cuda,151,0.010994920507073402,0.8111448759708357,0.009062509052455425,0.7775399663124517,200,200,0.010994920507073402,60.71399956708774
deep_esn,2,cuda,151,0.009186170063912868,0.7414290921062598,0.00583261763677001,0.6237782794047204,200,200,0.009186170063912868,60.70899048494175
deep_esn,3,cuda,151,0.009232299402356148,0.7432883437834849,0.006271709222346544,0.6468319329684602,200,200,0.009232299402356148,60.48047284083441
deep_esn,4,cuda,151,0.009786450304090977,0.7652705131500527,0.007053948938846588,0.6859850492571099,200,200,0.009786450304090977,60.192647207994014
proposed_nonlinear,0,cuda,1661,0.005634714383631945,0.5806819622684676,0.0029119013343006372,0.44074441978330986,200,200,0.005634714383631945,124.32648427598178
proposed_nonlinear,1,cuda,1661,0.006598860025405884,0.6284009606827264,0.003534675110131502,0.48559392582562666,200,200,0.006598860025405884,122.31063936417922
proposed_nonlinear,2,cuda,1661,0.0055596427991986275,0.5768007640097134,0.003095033345744014,0.45439250676972226,200,200,0.0055596427991986275,121.90322175994515
proposed_nonlinear,3,cuda,1661,0.007120710331946611,0.6527757941326682,0.0039038467220962048,0.5103226842345711,200,200,0.007120710331946611,121.25137105537578
proposed_nonlinear,4,cuda,1661,0.007302002049982548,0.6610333297473221,0.00416884571313858,0.5273590531673039,200,200,0.007302002049982548,121.49268694175407
proposed_linear,0,cuda,1661,0.005764105822890997,0.5873112973567217,0.0029637389816343784,0.4446501784415493,200,200,0.005764105822890997,113.71723951492459
proposed_linear,1,cuda,1661,0.006499283015727997,0.6236416425295473,0.003467768430709839,0.4809761470686145,200,200,0.006499283015727997,114.32239325437695
proposed_linear,2,cuda,1661,0.005549861118197441,0.5762931266357763,0.0030671008862555027,0.45233742923052117,200,200,0.005549861118197441,113.82819774514064
proposed_linear,3,cuda,1661,0.006745716091245413,0.6353549410022887,0.003683876246213913,0.4957366308991957,200,200,0.006745716091245413,113.60948779294267
proposed_linear,4,cuda,1661,0.007160591892898083,0.6546012698104128,0.004082265309989452,0.5218541097071786,200,200,0.007160591892898083,113.61673502763733
large_esn,0,cuda,301,0.007636907044798136,0.6760224745604718,0.0044779423624277115,0.5465598737788159,200,200,0.007636907044798136,39.17772184219211
large_esn,1,cuda,301,0.007384272757917643,0.6647467875834276,0.004514739383012056,0.5488009284411028,200,200,0.007384272757917643,39.15839848481119
large_esn,2,cuda,301,0.007750188000500202,0.6810178589561418,0.004733807407319546,0.5619579081246667,200,200,0.007750188000500202,39.27068923506886
large_esn,3,cuda,301,0.006843062583357096,0.6399228796693265,0.003931064624339342,0.5120985975300183,200,200,0.006843062583357096,39.16323950095102
large_esn,4,cuda,301,0.007924451492726803,0.6886316635567102,0.004849872086197138,0.5688053033085302,200,200,0.007924451492726803,39.19918902404606
